incident_id,person_id,person_name,role_in_incident,arrested,chargesheeted,arrest_date
INC000001,P000978,Kuldeep Thakur,SUSPECT,0,0,
INC000001,P000883,Ravi Poojary,ACCUSED,0,0,
INC000001,P000932,Chandrabhan Baghel,SUSPECT,1,0,2024-12-13
INC000001,P001498,Selvam Chettiar,COMPLAINANT,0,0,
INC000001,P001367,Temjen Basumatary,VICTIM,0,0,
INC000001,P001395,Satish Pandey,WITNESS,0,0,
INC000002,P000586,Nirmal Mistry,SUSPECT,1,1,2026-02-28
INC000002,P000591,Anup Roy,SUSPECT,1,0,2025-11-14
INC000002,P000610,Nirmal Bose,ACCUSED,1,1,2026-02-06
INC000002,P001046,Shakeel Ahmed,COMPLAINANT,0,0,
INC000002,P001200,Rajwinder Bains,VICTIM,0,0,
INC000002,P001448,Reshma Chaudhary,WITNESS,0,0,
INC000003,P000718,Haroon Pathan,ABSCONDING_ACCUSED,1,0,2026-07-06
INC000003,P000759,Devendra Chauhan,SUSPECT,0,0,
INC000003,P000753,Chandrabhan Shukla,ACCUSED,0,0,
INC000003,P000735,Vipul Parmar,ABSCONDING_ACCUSED,0,0,
INC000003,P001457,Nepal Biswas,COMPLAINANT,0,0,
INC000003,P001327,Hanuman Ranawat,VICTIM,0,0,
INC000004,P000834,Jasbir Brar,ACCUSED,1,0,2024-09-12
INC000004,P000826,Jarnail Singh,ACCUSED,0,0,
INC000004,P000828,Harjinder Kang,ACCUSED,0,0,
INC000004,P000803,Malkiat Virk,ACCUSED,1,0,2024-10-27
INC000004,P001092,Dhanapal Sundaram,COMPLAINANT,0,0,
INC000004,P001291,Hitesh Thakor,VICTIM,0,0,
INC000005,P000172,Kanta Choudhary,SUSPECT,0,0,
INC000005,P001054,Gopal Mistry,COMPLAINANT,0,0,
INC000005,P001175,Nagaratna Shetty,VICTIM,0,0,
INC000005,P001413,Nilesh Deshmukh,WITNESS,0,0,
INC000006,P000337,Kalpesh Vaghela,ABSCONDING_ACCUSED,0,0,
INC000006,P000298,Baiju Marar,ACCUSED,0,0,
INC000006,P001238,Nazia Malik,COMPLAINANT,0,0,
INC000006,P001375,Yellaiah Yadav,VICTIM,0,0,
INC000006,P001093,Farida Siddiqui,WITNESS,0,0,
INC000007,P000725,Altaf Khan,ACCUSED,0,0,
INC000007,P000713,Aarti More,ABSCONDING_ACCUSED,1,0,2021-10-23
INC000007,P000728,Netrapal Saini,ACCUSED,0,0,
INC000007,P000749,Shyamlal Bhardwaj,ACCUSED,0,0,
INC000007,P000758,Ibrahim Shaikh,SUSPECT,1,0,2021-08-25
INC000007,P001190,Ramkali Bhadauria,COMPLAINANT,0,0,
INC000007,P001385,Rafiq Rahman,VICTIM,0,0,
INC000007,P001277,Bhavesh Shah,WITNESS,0,0,
INC000008,P000165,Nadeem Chaudhary,ACCUSED,1,0,2024-01-13
INC000008,P000158,Sarfaraz Siddiqui,ACCUSED,1,1,2023-09-19
INC000008,P001153,Kanta Gurjar,COMPLAINANT,0,0,
INC000008,P001274,Yusuf Saifi,VICTIM,0,0,
INC000009,P000886,Rachhpal Grewal,ACCUSED,0,0,
INC000009,P000928,Vijay Sengar,ACCUSED,0,0,
INC000009,P000973,Shabana Pathan,SUSPECT,1,1,2019-08-17
INC000009,P001081,Afsana Mansuri,COMPLAINANT,0,0,
INC000009,P001394,Saravanan Gounder,VICTIM,0,0,
INC000009,P001036,Nasreen Zaidi,WITNESS,0,0,
INC000010,P000534,Pushpa Awasthi,ACCUSED,1,1,2025-08-28
INC000010,P000540,Tarsem Gill,ACCUSED,1,0,2025-06-07
INC000010,P000568,Lakhwinder Singh,SUSPECT,0,0,
INC000010,P000523,Triloki Shukla,ACCUSED,0,0,
INC000010,P000544,Iqbal Malik,SUSPECT,1,1,2025-11-03
INC000010,P001095,Meena Nagar,COMPLAINANT,0,0,
INC000010,P001161,Rina Pal,VICTIM,0,0,
INC000010,P001084,Davinder Kang,WITNESS,0,0,
INC000011,P000598,Tanveer Siddiqui,ABSCONDING_ACCUSED,1,0,2024-05-29
INC000011,P001320,Rafiq Pathan,COMPLAINANT,0,0,
INC000011,P001214,Mangesh Salunkhe,VICTIM,0,0,
INC000012,P000752,Mitesh Shah,SUSPECT,0,0,
INC000012,P000740,Faizan Baig,ACCUSED,1,1,2023-10-11
INC000012,P000749,Shyamlal Bhardwaj,ABSCONDING_ACCUSED,0,0,
INC000012,P000759,Devendra Chauhan,ACCUSED,1,1,2024-02-07
INC000012,P000735,Vipul Parmar,SUSPECT,0,0,
INC000012,P001435,Mangamma Vemula,COMPLAINANT,0,0,
INC000012,P001430,Rajendran Naicker,VICTIM,0,0,
INC000012,P001277,Bhavesh Shah,WITNESS,0,0,
INC000013,P000036,Shahnaz Alam,ACCUSED,1,1,2026-01-09
INC000013,P001300,Rajitha Goud,COMPLAINANT,0,0,
INC000013,P001103,Om Prakash Saini,VICTIM,0,0,
INC000013,P001483,Udaiveer Sengar,WITNESS,0,0,
INC000014,P000744,Hardik Thakor,ACCUSED,0,0,
INC000014,P000753,Chandrabhan Shukla,ACCUSED,1,1,2026-02-21
INC000014,P001358,Ravi Patil,COMPLAINANT,0,0,
INC000014,P001361,Suman Bhati,VICTIM,0,0,
INC000015,P000689,Jagdish Verma,ACCUSED,1,0,2021-10-15
INC000015,P001064,Aarti More,COMPLAINANT,0,0,
INC000015,P001425,Shyamlal Saini,VICTIM,0,0,
INC000015,P001353,Kuni Nayak,WITNESS,0,0,
INC000016,P000511,Rafiq Zaidi,ACCUSED,0,0,
INC000016,P000482,Naresh Mishra,ACCUSED,1,0,2026-12-02
INC000016,P000478,Triloki Tiwari,SUSPECT,1,0,2026-09-26
INC000016,P000475,Tanveer Pathan,SUSPECT,1,0,2026-11-07
INC000016,P001420,Rupa Halder,COMPLAINANT,0,0,
INC000016,P001276,Arif Pathan,VICTIM,0,0,
INC000016,P001443,Srinivas Varma,WITNESS,0,0,
INC000017,P000945,Bhaskar Dalvi,ACCUSED,1,0,2025-04-04
INC000017,P000882,Lekhraj Baghel,SUSPECT,1,0,2025-05-06
INC000017,P000958,Bhupendra Srivastava,ACCUSED,1,0,2025-08-10
INC000017,P000985,Arindam Chakraborty,ACCUSED,1,1,2025-06-04
INC000017,P000887,Anoop Kartha,ACCUSED,1,1,2025-05-20
INC000017,P001220,Nagaratna Kamath,COMPLAINANT,0,0,
INC000017,P001447,Tanaji Gaikwad,VICTIM,0,0,
INC000017,P001268,Deepa Warrier,WITNESS,0,0,
INC000018,P000871,Temjen Momin,ACCUSED,0,0,
INC000018,P000846,Mahesh Shukla,ACCUSED,0,0,
INC000018,P000878,Srinivas Bandari,SUSPECT,0,0,
INC000018,P001479,Jaswant Sandhu,COMPLAINANT,0,0,
INC000018,P001214,Mangesh Salunkhe,VICTIM,0,0,
INC000018,P001473,Shabana Qureshi,WITNESS,0,0,
INC000019,P000098,Haroon Rahman,SUSPECT,0,0,
INC000019,P000167,Sukhwinder Dhillon,SUSPECT,1,0,2023-07-23
INC000019,P000118,Bikramjit Sidhu,ACCUSED,0,0,
INC000019,P001479,Jaswant Sandhu,COMPLAINANT,0,0,
INC000019,P001277,Bhavesh Shah,WITNESS,0,0,
INC000020,P000927,Mangesh Salunkhe,ACCUSED,0,0,
INC000020,P000893,Imran Qureshi,ACCUSED,1,1,2023-07-21
INC000020,P000931,Jagdish Sengar,SUSPECT,1,1,2023-05-02
INC000020,P000913,Sandip Bhoir,ACCUSED,1,1,2023-07-20
INC000020,P001237,Devendra Sengar,COMPLAINANT,0,0,
INC000020,P001264,Karni Rathore,VICTIM,0,0,
INC000021,P000567,Triloki Yadav,ACCUSED,1,1,2026-08-24
INC000021,P000548,Anil Prajapati,SUSPECT,0,0,
INC000021,P000526,Vinod Singh,ACCUSED,0,0,
INC000021,P000559,Tarsem Singh,ACCUSED,0,0,
INC000021,P001269,Hanumanthappa Chikkanna,COMPLAINANT,0,0,
INC000021,P001153,Kanta Gurjar,VICTIM,0,0,
INC000021,P001470,Nadeem Shaikh,WITNESS,0,0,
INC000022,P000490,Ashok Verma,ACCUSED,0,0,
INC000022,P000504,Jitendra Solanki,ACCUSED,1,1,2026-03-02
INC000022,P000475,Tanveer Pathan,ACCUSED,1,1,2026-08-03
INC000022,P001494,Poonam Sengar,COMPLAINANT,0,0,
INC000022,P001173,Sarla Vyas,VICTIM,0,0,
INC000023,P000488,Aslam Ahmed,ACCUSED,0,0,
INC000023,P000480,Tanveer Farooqui,ACCUSED,1,1,2026-03-28
INC000023,P000514,Rafiq Sheikh,SUSPECT,0,0,
INC000023,P001283,Swapnil Naik,COMPLAINANT,0,0,
INC000023,P001369,Pushpalatha Angadi,VICTIM,0,0,
INC000023,P001046,Shakeel Ahmed,WITNESS,0,0,
INC000024,P000792,Nazia Khan,ACCUSED,1,1,2024-06-01
INC000024,P000765,Salim Shaikh,ACCUSED,0,0,
INC000024,P000786,Shailendra Sharma,ACCUSED,1,1,2024-09-01
INC000024,P001320,Rafiq Pathan,COMPLAINANT,0,0,
INC000024,P001139,Nagaraju Sharma,VICTIM,0,0,
INC000025,P000844,Gurpreet Toor,SUSPECT,1,0,2025-08-25
INC000025,P001036,Nasreen Zaidi,COMPLAINANT,0,0,
INC000025,P001143,Suresh Srivastava,VICTIM,0,0,
INC000026,P000715,Imran Farooqui,ACCUSED,1,0,2026-11-13
INC000026,P000730,Arif Mansuri,SUSPECT,1,1,2026-07-18
INC000026,P000755,Nilesh Bhoir,ABSCONDING_ACCUSED,1,1,2026-10-20
INC000026,P000737,Sachin Patil,ABSCONDING_ACCUSED,1,0,2026-11-18
INC000026,P001171,Sandip Rane,COMPLAINANT,0,0,
INC000026,P001381,Ilango Pillai,VICTIM,0,0,
INC000026,P001321,Moumita Das,WITNESS,0,0,
INC000027,P000963,Sandip Bhoir,ACCUSED,0,0,
INC000027,P000947,Ratheesh Kurup,ACCUSED,0,0,
INC000027,P000915,Ibrahim Qureshi,ACCUSED,0,0,
INC000027,P001003,Rachna Baghel,COMPLAINANT,0,0,
INC000027,P001092,Dhanapal Sundaram,VICTIM,0,0,
INC000027,P001278,Imran Hussain,WITNESS,0,0,
