edge_id,src_person_id,src_name,dst_person_id,dst_name,relation,subtype,since,strength,confidence,source_type,is_verified
E000001,P000012,Vishal Shinde,P000035,Sachin Bhosale,REPORTS_TO,,2023-03-10,0.8,0.9,INTELLIGENCE_REPORT,1
E000002,P000013,Mushtaq Baig,P000035,Sachin Bhosale,REPORTS_TO,,2019-01-07,0.85,0.9,INTELLIGENCE_REPORT,1
E000003,P000015,Swapnil Bhoir,P000035,Sachin Bhosale,REPORTS_TO,,2019-05-24,0.76,0.9,INTELLIGENCE_REPORT,1
E000004,P000018,Salim Saifi,P000035,Sachin Bhosale,REPORTS_TO,,2025-03-20,0.83,0.9,INTELLIGENCE_REPORT,1
E000005,P000091,Shahnawaz Hussain,P000035,Sachin Bhosale,REPORTS_TO,,2019-01-26,0.91,0.9,INTELLIGENCE_REPORT,1
E000006,P000051,Bhaskar Gaikwad,P000035,Sachin Bhosale,FINANCES,,2019-11-19,0.96,0.86,BANK_STATEMENT,1
E000007,P000080,Kalpesh Zala,P000035,Sachin Bhosale,FINANCES,,2026-06-08,0.84,0.86,BANK_STATEMENT,1
E000008,P000012,Vishal Shinde,P000081,Sandip Salunkhe,REPORTS_TO,,2019-11-13,0.78,0.9,INTELLIGENCE_REPORT,1
E000009,P000013,Mushtaq Baig,P000081,Sandip Salunkhe,REPORTS_TO,,2018-08-19,0.93,0.9,INTELLIGENCE_REPORT,1
E000010,P000015,Swapnil Bhoir,P000081,Sandip Salunkhe,REPORTS_TO,,2026-04-11,0.88,0.9,INTELLIGENCE_REPORT,1
E000011,P000018,Salim Saifi,P000081,Sandip Salunkhe,REPORTS_TO,,2022-10-28,0.87,0.9,INTELLIGENCE_REPORT,1
E000012,P000091,Shahnawaz Hussain,P000081,Sandip Salunkhe,REPORTS_TO,,2021-10-25,0.88,0.9,INTELLIGENCE_REPORT,1
E000013,P000080,Kalpesh Zala,P000081,Sandip Salunkhe,FINANCES,,2020-10-14,0.85,0.86,BANK_STATEMENT,1
E000014,P000082,Swapnil Jadhav,P000081,Sandip Salunkhe,FINANCES,,2021-08-21,0.72,0.86,BANK_STATEMENT,1
E000015,P000081,Sandip Salunkhe,P000011,Hitesh Zala,HANDLER_OF,,2020-01-14,0.57,0.6,INTELLIGENCE_REPORT,0
E000016,P000066,Ashfaq Mansuri,P000012,Vishal Shinde,REPORTS_TO,,2019-06-24,0.63,0.9,PASSPORT_IMMIGRATION,0
E000017,P000084,Rafiq Farooqui,P000012,Vishal Shinde,REPORTS_TO,,2022-11-10,0.74,0.85,CRIMINAL_HISTORY_DB,1
