phone_id,device_id,imei,msisdn,first_seen,last_seen
PH000001,DEV000001,495322247081011,8605732136,2017-04-01,2026-06-30
PH000002,DEV000002,351669460212465,8784089437,2016-03-12,2026-06-30
PH000003,DEV000003,019627622368313,8636207498,2016-05-02,2026-06-30
PH000004,DEV000003,019627622368313,8171665781,2020-11-29,2021-11-30
PH000005,DEV000003,019627622368313,9853223072,2019-08-14,2026-06-30
PH000006,DEV000005,010194737796260,8702280177,2015-07-31,2026-06-30
PH000007,DEV000005,010194737796260,7939103231,2022-02-03,2023-01-12
PH000008,DEV000005,010194737796260,9378260187,2018-01-07,2018-05-28
PH000009,DEV000005,010194737796260,8474575021,2023-07-11,2026-06-30
PH000010,DEV000006,357251234335369,8582200810,2015-12-09,2026-06-30
PH000011,DEV000007,493621051640782,9826587503,2017-03-21,2026-06-30
PH000012,DEV000007,493621051640782,9561990746,2020-01-17,2026-06-30
PH000013,DEV000009,357564505810581,9737396527,2015-10-11,2026-06-30
PH000014,DEV000009,357564505810581,7229969915,2026-01-04,2026-06-30
PH000015,DEV000009,357564505810581,8302136884,2024-05-31,2026-06-30
PH000016,DEV000010,010591934424627,8561937886,2017-03-18,2026-06-30
PH000017,DEV000011,860653353597599,8822628191,2020-07-26,2026-06-30
PH000018,DEV000010,010591934424627,7050472609,2019-04-18,2026-06-30
PH000019,DEV000011,860653353597599,9959198174,2018-03-07,2026-06-30
PH000020,DEV000012,010258988108559,9057882737,2015-10-12,2026-06-30
PH000021,DEV000012,010258988108559,8655004450,2025-05-16,2026-06-30
PH000022,DEV000012,010258988108559,7478254630,2019-08-28,2026-06-30
PH000023,DEV000012,010258988108559,7858198708,2026-02-17,2026-06-30
PH000024,DEV000013,350488672514096,7024104150,2016-06-11,2026-06-30
PH000025,DEV000014,353675726684901,8509816688,2017-09-18,2026-06-30
PH000026,DEV000014,353675726684901,8225731253,2020-10-30,2026-06-30
PH000027,DEV000014,353675726684901,8971733157,2024-03-24,2024-12-22
PH000028,DEV000014,353675726684901,9182969454,2022-10-28,2026-06-30
PH000029,DEV000015,866135062108405,7331779053,2016-10-22,2026-06-30
PH000030,DEV000015,866135062108405,8328019388,2021-02-19,2021-07-11
PH000031,DEV000017,353598043331564,8981099752,2015-12-07,2026-06-30
PH000032,DEV000017,353598043331564,7173730871,2019-11-03,2026-06-30
PH000033,DEV000016,353875007709905,9507024748,2022-05-22,2026-06-30
PH000034,DEV000018,865951763524130,9133520622,2016-03-10,2026-06-30
PH000035,DEV000019,860112738318175,8356024923,2016-10-22,2026-06-30
PH000036,DEV000019,860112738318175,8997526158,2019-06-11,2026-06-30
PH000037,DEV000020,492668063992411,7001915426,2017-03-12,2026-06-30
PH000038,DEV000021,010627890880680,9875466248,2018-10-13,2026-06-30
PH000039,DEV000021,010627890880680,8092346652,2024-09-13,2026-06-30
PH000040,DEV000020,492668063992411,9237134631,2021-03-25,2026-06-30
PH000041,DEV000022,865024694841234,9623312567,2015-09-27,2026-06-30
PH000042,DEV000022,865024694841234,7827732357,2020-12-05,2026-06-30
PH000043,DEV000023,863119161195530,9770943913,2015-12-13,2026-06-30
PH000044,DEV000023,863119161195530,7526080993,2022-10-04,2026-06-30
PH000045,DEV000024,864037791703796,7674738113,2020-10-06,2026-06-30
PH000046,DEV000024,864037791703796,9935588234,2018-03-04,2026-06-30
PH000047,DEV000025,868079511812162,8521624742,2017-10-17,2026-06-30
PH000048,DEV000025,868079511812162,9236791207,2024-10-17,2026-06-30
PH000049,DEV000026,496970856759102,7043150717,2016-03-26,2026-06-30
PH000050,DEV000026,496970856759102,7961684446,2023-02-22,2023-09-10
PH000051,DEV000026,496970856759102,7444792975,2020-09-18,2026-06-30
PH000052,DEV000027,355072592501699,9577714057,2017-02-21,2026-06-30
PH000053,DEV000027,355072592501699,9885752563,2024-12-18,2026-06-30
PH000054,DEV000028,499823070081335,8009530727,2021-01-17,2026-06-30
PH000055,DEV000029,357931625055328,9449418016,2015-10-18,2026-06-30
PH000056,DEV000029,357931625055328,8491465951,2024-01-31,2026-06-30
PH000057,DEV000030,352769347796606,8287793889,2017-07-08,2026-06-30
PH000058,DEV000031,017504224640695,8229696524,2024-11-30,2025-07-29
PH000059,DEV000031,017504224640695,8402657814,2021-02-20,2026-06-30
PH000060,DEV000031,017504224640695,8500174931,2022-12-20,2023-04-26
PH000061,DEV000032,011698142076815,8627711488,2015-11-07,2026-06-30
PH000062,DEV000033,493703559591515,8197239766,2016-09-22,2026-06-30
PH000063,DEV000033,493703559591515,7380077842,2023-02-16,2026-06-30
PH000064,DEV000035,011391841805142,8186360253,2015-08-31,2026-06-30
PH000065,DEV000034,355501352471178,8487387183,2018-03-22,2019-02-13
PH000066,DEV000035,011391841805142,7756089706,2021-02-07,2026-06-30
PH000067,DEV000035,011391841805142,7704702789,2026-05-21,2026-06-30
PH000068,DEV000036,495314594568152,8399332769,2016-12-28,2026-06-30
PH000069,DEV000037,018672602131807,8498976330,2016-06-04,2026-06-30
PH000070,DEV000038,355225898730733,9143087803,2016-02-21,2026-06-30
PH000071,DEV000038,355225898730733,8078137314,2018-11-25,2026-06-30
PH000072,DEV000038,355225898730733,8430597662,2023-07-28,2026-06-30
PH000073,DEV000038,355225898730733,8585652554,2022-05-01,2023-05-08
PH000074,DEV000039,011906710099785,8761171340,2016-02-29,2026-06-30
PH000075,DEV000039,011906710099785,8026505347,2021-06-09,2026-06-30
PH000076,DEV000040,355792826290169,7821282658,2016-02-20,2026-06-30
PH000077,DEV000040,355792826290169,9784345651,2018-12-29,2026-06-30
PH000078,DEV000040,355792826290169,7935784590,2026-03-25,2027-03-07
PH000079,DEV000040,355792826290169,9070705070,2023-07-24,2024-04-01
PH000080,DEV000042,493053428907812,8153331793,2017-08-23,2026-06-30
PH000081,DEV000041,350233094621475,7578649958,2019-04-07,2019-05-14
PH000082,DEV000042,493053428907812,7587927462,2022-04-19,2026-06-30
PH000083,DEV000041,350233094621475,8457931444,2023-07-09,2026-06-30
PH000084,DEV000043,014166611772948,9706616903,2017-08-10,2026-06-30
PH000085,DEV000043,014166611772948,8370996087,2020-04-10,2020-09-17
PH000086,DEV000043,014166611772948,7837596868,2023-09-14,2026-06-30
PH000087,DEV000043,014166611772948,9736721156,2021-09-25,2022-01-17
PH000088,DEV000045,018736080558225,7049779572,2016-01-08,2026-06-30
PH000089,DEV000045,018736080558225,9424947641,2024-10-29,2026-06-30
PH000090,DEV000045,018736080558225,9622777085,2022-07-11,2023-06-09
PH000091,DEV000046,359180438430978,7253270341,2017-09-28,2026-06-30
PH000092,DEV000046,359180438430978,7080538289,2024-08-04,2026-06-30
PH000093,DEV000046,359180438430978,9962220834,2021-03-26,2021-09-24
PH000094,DEV000047,499251362238017,9401874729,2016-05-12,2026-06-30
PH000095,DEV000048,351819023201659,7246961360,2017-11-27,2026-06-30
PH000096,DEV000048,351819023201659,9853335016,2020-04-18,2026-06-30
PH000097,DEV000048,351819023201659,9551332096,2022-01-27,2026-06-30
PH000098,DEV000049,352817393396919,8451926775,2017-10-30,2026-06-30
PH000099,DEV000050,016120646467640,9072020487,2026-05-04,2026-06-30
PH000100,DEV000050,016120646467640,7614595508,2022-11-29,2026-06-30
PH000101,DEV000051,010719709574450,9114399925,2015-11-01,2026-06-30
PH000102,DEV000052,358349116476494,8467384315,2016-06-28,2026-06-30
PH000103,DEV000052,358349116476494,7770391905,2019-11-04,2020-04-02
PH000104,DEV000053,863207248611561,8522781815,2015-11-18,2026-06-30
PH000105,DEV000053,863207248611561,7278760287,2018-07-30,2019-01-20
PH000106,DEV000054,013741269808654,8501412804,2016-11-03,2026-06-30
PH000107,DEV000054,013741269808654,8761732776,2020-02-01,2021-01-12
PH000108,DEV000054,013741269808654,9036633756,2024-08-28,2026-06-30
PH000109,DEV000055,013121345579999,9531329402,2016-03-03,2026-06-30
PH000110,DEV000055,013121345579999,8710705605,2023-11-06,2026-06-30
PH000111,DEV000057,495013993925675,8236578371,2017-10-05,2026-06-30
PH000112,DEV000056,352803568991083,7622496737,2025-05-12,2026-06-30
PH000113,DEV000056,352803568991083,9844388269,2018-04-08,2026-06-30
PH000114,DEV000059,358928914353541,8518626678,2015-09-28,2026-06-30
PH000115,DEV000058,015461203846721,8986409466,2022-08-07,2026-06-30
PH000116,DEV000059,358928914353541,9001289348,2023-03-20,2024-01-05
PH000117,DEV000058,015461203846721,9919233152,2024-09-18,2026-06-30
PH000118,DEV000060,869399431095180,8647513407,2015-09-24,2026-06-30
PH000119,DEV000060,869399431095180,7169061195,2021-01-08,2021-03-31
PH000120,DEV000061,350161832152907,7583978301,2016-07-27,2026-06-30
PH000121,DEV000061,350161832152907,9070327188,2025-07-04,2026-06-30
PH000122,DEV000061,350161832152907,7690648477,2018-07-12,2026-06-30
PH000123,DEV000062,017658575790335,8204283167,2016-05-18,2026-06-30
PH000124,DEV000064,355338416290623,7209999378,2016-03-25,2026-06-30
PH000125,DEV000064,355338416290623,9682070002,2018-04-12,2026-06-30
PH000126,DEV000063,359963230477253,9630358217,2019-07-26,2019-10-21
PH000127,DEV000063,359963230477253,7706577211,2018-03-26,2026-06-30
PH000128,DEV000065,869516289084548,8705183434,2016-04-22,2026-06-30
PH000129,DEV000066,018728023865624,9725812876,2017-08-20,2026-06-30
PH000130,DEV000066,018728023865624,8285169217,2019-06-13,2026-06-30
PH000131,DEV000067,350846900158124,9230053782,2017-11-25,2026-06-30
PH000132,DEV000068,017041450563378,8500251906,2015-09-21,2026-06-30
PH000133,DEV000068,017041450563378,7183572890,2023-02-20,2026-06-30
PH000134,DEV000068,017041450563378,8557336828,2018-03-05,2026-06-30
PH000135,DEV000070,862580245571163,8997711801,2017-09-15,2026-06-30
PH000136,DEV000070,862580245571163,7769474934,2022-12-02,2026-06-30
PH000137,DEV000070,862580245571163,8080843196,2022-04-19,2026-06-30
PH000138,DEV000071,359404475017506,8502317402,2017-07-18,2026-06-30
PH000139,DEV000071,359404475017506,7635641629,2020-01-14,2026-06-30
PH000140,DEV000072,018990658697221,7848526023,2023-09-10,2026-06-30
PH000141,DEV000073,359401441245220,7291069713,2015-12-27,2026-06-30
PH000142,DEV000073,359401441245220,8314024542,2020-06-04,2026-06-30
PH000143,DEV000074,010596470336429,9050462933,2015-12-19,2026-06-30
PH000144,DEV000074,010596470336429,9890530945,2024-12-31,2026-06-30
PH000145,DEV000075,010315887850661,9332614340,2015-11-20,2026-06-30
PH000146,DEV000075,010315887850661,9909531225,2023-12-26,2026-06-30
PH000147,DEV000076,011483515609513,8663070781,2021-04-04,2026-06-30
PH000148,DEV000077,356648110512921,8211511162,2016-05-29,2026-06-30
PH000149,DEV000077,356648110512921,9772553107,2021-08-26,2022-09-02
PH000150,DEV000078,355752295083861,8983677810,2016-07-11,2026-06-30
PH000151,DEV000078,355752295083861,7508236616,2021-12-26,2026-06-30
PH000152,DEV000078,355752295083861,9411084039,2022-09-11,2026-06-30
PH000153,DEV000078,355752295083861,7166676055,2024-07-16,2026-06-30
PH000154,DEV000079,867947631834299,8553515347,2016-10-23,2026-06-30
PH000155,DEV000079,867947631834299,8710103208,2018-04-16,2026-06-30
PH000156,DEV000079,867947631834299,8807644490,2021-12-19,2022-02-15
PH000157,DEV000082,353877765402345,9758978242,2016-09-21,2026-06-30
PH000158,DEV000081,359640009256838,9898638346,2018-03-14,2026-06-30
PH000159,DEV000081,359640009256838,9231530707,2021-09-16,2026-06-30
PH000160,DEV000081,359640009256838,7494541833,2021-07-29,2026-06-30
PH000161,DEV000084,357167148957922,8165293675,2015-08-17,2026-06-30
PH000162,DEV000083,496218224792248,8195536422,2020-10-07,2026-06-30
PH000163,DEV000083,496218224792248,9201876927,2024-11-04,2026-06-30
PH000164,DEV000083,496218224792248,7029973854,2025-04-10,2026-06-30
PH000165,DEV000085,865456367988362,9413734542,2017-02-06,2026-06-30
