node_id,node_type,label,attributes
P000001,Person,Anwar Ahmed,"{""alias"": ""Chacha Anwar"", ""role"": ""MULE"", ""syndicate"": ""SYN-EXT"", ""risk"": 25, ""influence"": 0.085, ""custody"": ""ON_BAIL"", ""city"": ""New Delhi"", ""state"": ""Delhi"", ""person_type"": ""CRIMINAL"", ""bridge"": 0}"
P000002,Person,Shabana Baig,"{""alias"": ""Kallu Shabana"", ""role"": ""FENCE"", ""syndicate"": ""SYN-EXT"", ""risk"": 40, ""influence"": 0.503, ""custody"": ""AT_LARGE"", ""city"": ""New Delhi"", ""state"": ""Delhi"", ""person_type"": ""CRIMINAL"", ""bridge"": 1}"
P000003,Person,Dattatray Waghmare,"{""alias"": """", ""role"": ""MULE"", ""syndicate"": ""SYN-EXT"", ""risk"": 24, ""influence"": 0.094, ""custody"": ""ON_BAIL"", ""city"": ""Rajkot"", ""state"": ""Gujarat"", ""person_type"": ""CRIMINAL"", ""bridge"": 0}"
P000004,Person,Nilesh Vaghela,"{""alias"": """", ""role"": ""RECRUITER"", ""syndicate"": ""SYN-EXT"", ""risk"": 55, ""influence"": 0.552, ""custody"": ""UNDER_SURVEILLANCE"", ""city"": ""New Delhi"", ""state"": ""Delhi"", ""person_type"": ""CRIMINAL"", ""bridge"": 0}"
P000005,Person,Aslam Ahmed,"{""alias"": ""Aslam Chikna"", ""role"": ""FIELD_OPERATIVE"", ""syndicate"": ""SYN-EXT"", ""risk"": 63, ""influence"": 0.271, ""custody"": ""EXTRADITION_PENDING"", ""city"": ""Mangaluru"", ""state"": ""Karnataka"", ""person_type"": ""CRIMINAL"", ""bridge"": 0}"
P000006,Person,Zubair Sheikh,"{""alias"": ""Zubair Chikna"", ""role"": ""MULE"", ""syndicate"": ""SYN-EXT"", ""risk"": 36, ""influence"": 0.086, ""custody"": ""DECLARED_PO"", ""city"": ""Mangaluru"", ""state"": ""Karnataka"", ""person_type"": ""CRIMINAL"", ""bridge"": 0}"
P000007,Person,Bhaskar Kamble,"{""alias"": """", ""role"": ""LOGISTICS"", ""syndicate"": ""SYN-EXT"", ""risk"": 64, ""influence"": 0.69, ""custody"": ""ABSCONDING"", ""city"": ""Bengaluru"", ""state"": ""Karnataka"", ""person_type"": ""CRIMINAL"", ""bridge"": 1}"
P000008,Person,Tanveer Idrisi,"{""alias"": """", ""role"": ""SHOOTER"", ""syndicate"": ""SYN-EXT"", ""risk"": 90, ""influence"": 0.35, ""custody"": ""ABSCONDING"", ""city"": ""Mumbai"", ""state"": ""Maharashtra"", ""person_type"": ""CRIMINAL"", ""bridge"": 0}"
P000009,Person,Sandip Rane,"{""alias"": """", ""role"": ""MULE"", ""syndicate"": ""SYN-EXT"", ""risk"": 24, ""influence"": 0.082, ""custody"": ""EXTRADITION_PENDING"", ""city"": ""New Delhi"", ""state"": ""Delhi"", ""person_type"": ""CRIMINAL"", ""bridge"": 0}"
P000010,Person,Amol Rane,"{""alias"": ""Cheetah Amol"", ""role"": ""FENCE"", ""syndicate"": ""SYN-EXT"", ""risk"": 52, ""influence"": 0.316, ""custody"": ""IN_JUDICIAL_CUSTODY"", ""city"": ""Mumbai"", ""state"": ""Maharashtra"", ""person_type"": ""CRIMINAL"", ""bridge"": 0}"
