record_a,name_a,dob_a,record_b,name_b,dob_b,is_same_person,variant_type,shared_signals,shared_phone,correct_action
P000997,Pradip Majumdar,1993-07-14,P001501,P. Majumdar,1993-07-14,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2|SHARED_PHONE,8331972189,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000161,Mohan Sisodia,1975-12-02,P001502,M. Sisodia,1976-12-01,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000399,Netrapal Bhardwaj,1988-03-09,P001503,Netrapal,1989-03-09,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000766,Balbir Shukla,1963-02-16,P001504,Shukla Balbir,1963-02-16,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000936,Rajesh Awasthi,1980-02-23,P001505,R. Awasthi,1980-02-23,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000143,Nadeem Khan,1993-02-17,P001506,N. Khan,1993-02-18,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_3|SHARED_PHONE,9304761945,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000767,Balbir Dixit,1984-08-05,P001507,Balbir,1983-08-06,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000050,Pandurang Deshmukh,2003-04-02,P001508,Pandurang Deshmuk,2003-04-02,1,SURNAME_TRANSLITERATION,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_1|SHARED_PHONE,8705183434,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000725,Altaf Khan,1992-10-19,P001509,Khan Altaf,1992-10-19,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_2|SHARED_PHONE,8752900804,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000940,Mitesh Solanki,1990-05-15,P001510,Solanki Mitesh,1990-05-15,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_1|SHARED_PHONE,8616508729,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000580,Nepal Mondal,1980-07-22,P001511,Nepal,1980-07-21,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000864,Rambabu Goud,1987-05-07,P001512,Goud Rambabu,1988-05-06,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000942,Rambabu Yadav,1990-01-24,P001513,Yadav Rambabu,1990-01-25,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000799,Shakeel Pathan,1981-06-25,P001514,Pathan Shakeel,1981-06-25,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000374,Murugan Annadurai,1961-03-09,P001515,M. Annadurai,1961-03-09,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000401,Rajendran Subramanian,1999-01-06,P001516,Subramanian Rajendran,1999-01-06,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_3|SHARED_PHONE,9258870432,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000514,Rafiq Sheikh,1964-08-13,P001517,Rafiq Shaikh,1964-08-13,1,SURNAME_TRANSLITERATION,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000627,Amutha Rajendran,1968-03-02,P001518,Amutha,1968-03-01,1,SURNAME_DROPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,7423308724,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000291,Manoj Menon,1998-08-01,P001519,Menon Manoj,1999-08-01,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,7054260244,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000639,Sasmita Behera,1968-01-07,P001520,Sasmita,1968-01-07,1,SURNAME_DROPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_2|SHARED_PHONE,9500628219,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000496,Har Prasad Rajput,1986-06-15,P001521,Har Prasad,1986-06-14,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,8395215605,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000972,Prakash Rai,1968-08-12,P001522,P. Rai,1967-08-13,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000657,Bhagaban Mohanty,1999-12-24,P001523,Bhagaban,1998-12-24,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000728,Netrapal Saini,2002-09-11,P001524,Saini Netrapal,2002-09-10,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000714,Divyesh Vaghela,1961-03-24,P001525,D. Vaghela,1961-03-24,1,INITIAL_ONLY,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_2|SHARED_PHONE,7757160629,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000970,Ashfaq Saifi,1960-10-20,P001526,A. Saifi,1960-10-20,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_2|SHARED_PHONE,7743960591,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000663,Sabita Sahoo,1971-01-01,P001527,Sahoo Sabita,1971-01-01,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_3|SHARED_PHONE,7908356981,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000324,Nilesh Parmar,1984-03-12,P001528,N. Parmar,1984-03-11,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_2,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000969,Aslam Ansari,1990-03-18,P001529,Ansari Aslam,1989-03-18,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000825,Jitendra Rajput,1961-11-21,P001530,Jitendra,1962-11-21,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,9507857474,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000954,Rekha Sengar,1993-02-12,P001531,Sengar Rekha,1993-02-13,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_2|SHARED_PHONE,9287208670,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000486,Tanveer Khan,1984-04-12,P001532,Tanveer,1983-04-13,1,SURNAME_DROPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,8892901059,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000373,Saravanan Mudaliar,1977-08-07,P001533,S. Mudaliar,1977-08-06,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000312,Anoop Kurup,1961-03-11,P001534,Kurup Anoop,1961-03-12,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|SAME_ALIAS|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,8241990397,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000069,Sarfaraz Qureshi,1973-12-19,P001535,Sarfaraz Kureshi,1973-12-19,1,SURNAME_TRANSLITERATION,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_3|SHARED_PHONE,8478055922,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000561,Nirmal Gill,1967-01-08,P001536,Gill Nirmal,1967-01-08,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_EXACT|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000587,Shabana Ahmed,1973-04-25,P001537,Shabana,1972-04-25,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3|SHARED_PHONE,9740463147,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000687,Dinesh Prajapati,1998-12-07,P001538,Dinesh,1999-12-07,1,SURNAME_DROPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000210,Haroon Idrisi,1975-06-14,P001539,H. Idrisi,1976-06-13,1,INITIAL_ONLY,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_3,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000546,Om Prakash Rathore,1992-04-21,P001540,Om Prakash Rathod,1992-04-21,1,SURNAME_TRANSLITERATION,SAME_HOME_LOCATION|SAME_ALIAS|DOB_EXACT|SHARED_NEIGHBOURS_1,,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
P000017,Swapnil Tandel,1969-07-21,P001541,Tandel Swapnil,1968-07-21,1,NAME_ORDER_SWAPPED,SAME_HOME_LOCATION|DOB_NEAR|SHARED_NEIGHBOURS_1|SHARED_PHONE,7827732357,PROPOSE_MERGE_REQUIRE_HUMAN_CONFIRMATION
