person_id,name,syndicate_id,syndicate_code,role
P000001,Anwar Ahmed,ORG000001,SYN-EXT,MULE
P000002,Shabana Baig,ORG000001,SYN-EXT,FENCE
P000003,Dattatray Waghmare,ORG000001,SYN-EXT,MULE
P000004,Nilesh Vaghela,ORG000001,SYN-EXT,RECRUITER
P000005,Aslam Ahmed,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000006,Zubair Sheikh,ORG000001,SYN-EXT,MULE
P000007,Bhaskar Kamble,ORG000001,SYN-EXT,LOGISTICS
P000008,Tanveer Idrisi,ORG000001,SYN-EXT,SHOOTER
P000009,Sandip Rane,ORG000001,SYN-EXT,MULE
P000010,Amol Rane,ORG000001,SYN-EXT,FENCE
P000011,Hitesh Zala,ORG000001,SYN-EXT,TECH_HANDLER
P000012,Vishal Shinde,ORG000001,SYN-EXT,LIEUTENANT
P000013,Mushtaq Baig,ORG000001,SYN-EXT,LIEUTENANT
P000014,Jayesh Barot,ORG000001,SYN-EXT,COURIER
P000015,Swapnil Bhoir,ORG000001,SYN-EXT,LIEUTENANT
P000016,Hardik Barot,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000017,Swapnil Tandel,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000018,Salim Saifi,ORG000001,SYN-EXT,LIEUTENANT
P000019,Bhaskar Bhosale,ORG000001,SYN-EXT,MULE
P000020,Nitin Bhoir,ORG000001,SYN-EXT,FIXER
P000021,Kishor Makwana,ORG000001,SYN-EXT,LOGISTICS
P000022,Nasreen Sheikh,ORG000001,SYN-EXT,FENCE
P000023,Hardik Barot,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000024,Bharat Gohil,ORG000001,SYN-EXT,MULE
P000025,Ganesh Chavan,ORG000001,SYN-EXT,MULE
P000026,Hitesh Trivedi,ORG000001,SYN-EXT,MULE
P000027,Vishal Gaikwad,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000028,Alpesh Thakor,ORG000001,SYN-EXT,FINANCIER
P000029,Ashwin Zala,ORG000001,SYN-EXT,FINANCIER
P000030,Rahul Jadhav,ORG000001,SYN-EXT,SHOOTER
P000031,Vipul Desai,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000032,Rasik Joshi,ORG000001,SYN-EXT,LOGISTICS
P000033,Arif Chaudhary,ORG000001,SYN-EXT,MULE
P000034,Mohammed Idrisi,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000035,Sachin Bhosale,ORG000001,SYN-EXT,KINGPIN
P000036,Shahnaz Alam,ORG000001,SYN-EXT,MULE
P000037,Ganesh Dalvi,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000038,Tushar Zala,ORG000001,SYN-EXT,MULE
P000039,Sagar Rane,ORG000001,SYN-EXT,MULE
P000040,Shahnawaz Pathan,ORG000001,SYN-EXT,FINANCIER
P000041,Pandurang Bhoir,ORG000001,SYN-EXT,RECRUITER
P000042,Trupti Rabari,ORG000001,SYN-EXT,LOGISTICS
P000043,Bharat Dave,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000044,Hitesh Solanki,ORG000001,SYN-EXT,SHOOTER
P000045,Dharmesh Zala,ORG000001,SYN-EXT,COURIER
P000046,Sandip Kamble,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000047,Swapnil Pawar,ORG000001,SYN-EXT,MULE
P000048,Tanaji Tandel,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000049,Bhavesh Thakor,ORG000001,SYN-EXT,MULE
P000050,Pandurang Deshmukh,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000051,Bhaskar Gaikwad,ORG000001,SYN-EXT,FINANCIER
P000052,Vishal Jadhav,ORG000001,SYN-EXT,FINANCIER
P000053,Mangesh Shinde,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000054,Dharmesh Shah,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000055,Ibrahim Mirza,ORG000001,SYN-EXT,SHOOTER
P000056,Swapnil Salunkhe,ORG000001,SYN-EXT,FINANCIER
P000057,Sagar Bhoir,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000058,Alpesh Shah,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000059,Bharat Bhatt,ORG000001,SYN-EXT,MULE
P000060,Rasik Vaghela,ORG000001,SYN-EXT,FIXER
P000061,Amol Tandel,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000062,Dattatray Tandel,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000063,Dattatray Tandel,ORG000001,SYN-EXT,LOGISTICS
P000064,Rafiq Ahmed,ORG000001,SYN-EXT,RECRUITER
P000065,Shahnawaz Mansuri,ORG000001,SYN-EXT,MULE
P000066,Ashfaq Mansuri,ORG000001,SYN-EXT,LOGISTICS
P000067,Pandurang Mhatre,ORG000001,SYN-EXT,MULE
P000068,Reshma Saifi,ORG000001,SYN-EXT,COURIER
P000069,Sarfaraz Qureshi,ORG000001,SYN-EXT,FIXER
P000070,Ashwin Trivedi,ORG000001,SYN-EXT,LOGISTICS
P000071,Chirag Desai,ORG000001,SYN-EXT,MULE
P000072,Jayesh Desai,ORG000001,SYN-EXT,MULE
P000073,Iqbal Mansuri,ORG000001,SYN-EXT,COURIER
P000074,Ashwin Parmar,ORG000001,SYN-EXT,INFORMANT
P000075,Nisha Zala,ORG000001,SYN-EXT,FIXER
P000076,Divyesh Shah,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000077,Dharmesh Thakor,ORG000001,SYN-EXT,COURIER
P000078,Prashant Deshmukh,ORG000001,SYN-EXT,INFORMANT
P000079,Rasik Trivedi,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000080,Kalpesh Zala,ORG000001,SYN-EXT,FINANCIER
P000081,Sandip Salunkhe,ORG000001,SYN-EXT,KINGPIN
P000082,Swapnil Jadhav,ORG000001,SYN-EXT,HAWALA_OPERATOR
P000083,Mitesh Joshi,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000084,Rafiq Farooqui,ORG000001,SYN-EXT,RECRUITER
P000085,Ibrahim Ansari,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000086,Chirag Dave,ORG000001,SYN-EXT,FIXER
P000087,Ibrahim Siddiqui,ORG000001,SYN-EXT,LOGISTICS
P000088,Sagar Salunkhe,ORG000001,SYN-EXT,SHOOTER
P000089,Tushar Parmar,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000090,Mangesh Tandel,ORG000001,SYN-EXT,FIELD_OPERATIVE
P000091,Shahnawaz Hussain,ORG000001,SYN-EXT,LIEUTENANT
P000092,Ibrahim Qureshi,ORG000001,SYN-EXT,MULE
P000093,Wasim Baig,ORG000002,SYN-HER,COURIER
P000094,Malkiat Grewal,ORG000002,SYN-HER,COURIER
P000095,Satnam Bains,ORG000002,SYN-HER,SHOOTER
P000096,Navneet Bajwa,ORG000002,SYN-HER,MULE
P000097,Manpreet Sekhon,ORG000002,SYN-HER,HAWALA_OPERATOR
P000098,Haroon Rahman,ORG000002,SYN-HER,INFORMANT
P000099,Shakeel Pathan,ORG000002,SYN-HER,COURIER
P000100,Ranveer Choudhary,ORG000002,SYN-HER,FINANCIER
P000101,Ratan Saini,ORG000002,SYN-HER,LOGISTICS
P000102,Abdul Shaikh,ORG000002,SYN-HER,FIELD_OPERATIVE
P000103,Hanuman Beniwal,ORG000002,SYN-HER,RECRUITER
P000104,Devi Lal Vyas,ORG000002,SYN-HER,RECRUITER
P000105,Mohan Sisodia,ORG000002,SYN-HER,INFORMANT
P000106,Amarjit Sidhu,ORG000002,SYN-HER,FIELD_OPERATIVE
P000107,Mohammed Shaikh,ORG000002,SYN-HER,TECH_HANDLER
P000108,Ranveer Kumawat,ORG000002,SYN-HER,LOGISTICS
P000109,Firoz Chaudhary,ORG000002,SYN-HER,FIELD_OPERATIVE
P000110,Iqbal Pathan,ORG000002,SYN-HER,TECH_HANDLER
P000111,Nirmal Bains,ORG000002,SYN-HER,MULE
P000112,Rafiq Ansari,ORG000002,SYN-HER,FIXER
P000113,Mushtaq Khan,ORG000002,SYN-HER,FIELD_OPERATIVE
P000114,Gayatri Jat,ORG000002,SYN-HER,LOGISTICS
P000115,Nirmal Singh,ORG000002,SYN-HER,COURIER
P000116,Kishan Godara,ORG000002,SYN-HER,FIXER
P000117,Nathu Choudhary,ORG000002,SYN-HER,HAWALA_OPERATOR
P000118,Bikramjit Sidhu,ORG000002,SYN-HER,FIELD_OPERATIVE
P000119,Faizan Alam,ORG000002,SYN-HER,COURIER
P000120,Harbhajan Sekhon,ORG000002,SYN-HER,LOGISTICS
P000121,Ashfaq Saifi,ORG000002,SYN-HER,LIEUTENANT
P000122,Karni Bishnoi,ORG000002,SYN-HER,FIELD_OPERATIVE
P000123,Bhoma Poonia,ORG000002,SYN-HER,RECRUITER
P000124,Rafiq Baig,ORG000002,SYN-HER,MULE
P000125,Sarfaraz Idrisi,ORG000002,SYN-HER,SHOOTER
P000126,Haroon Baig,ORG000002,SYN-HER,LOGISTICS
P000127,Nadeem Mirza,ORG000002,SYN-HER,LIEUTENANT
P000128,Jasbir Kang,ORG000002,SYN-HER,LIEUTENANT
P000129,Kulwant Aulakh,ORG000002,SYN-HER,FINANCIER
P000130,Sohan Kumawat,ORG000002,SYN-HER,FIXER
P000131,Imran Siddiqui,ORG000002,SYN-HER,MULE
P000132,Jarnail Sidhu,ORG000002,SYN-HER,SHOOTER
P000133,Gurmeet Bajwa,ORG000002,SYN-HER,LOGISTICS
P000134,Tanveer Sheikh,ORG000002,SYN-HER,SHOOTER
P000135,Karni Meena,ORG000002,SYN-HER,COURIER
P000136,Amarjit Grewal,ORG000002,SYN-HER,FIELD_OPERATIVE
P000137,Paramjit Gill,ORG000002,SYN-HER,COURIER
P000138,Rajwinder Sarao,ORG000002,SYN-HER,FIELD_OPERATIVE
P000139,Chhagan Saini,ORG000002,SYN-HER,FIELD_OPERATIVE
P000140,Bhanwari Jat,ORG000002,SYN-HER,KINGPIN
P000141,Paramjit Grewal,ORG000002,SYN-HER,CORRUPT_OFFICIAL
P000142,Karamjit Bajwa,ORG000002,SYN-HER,COURIER
P000143,Nadeem Khan,ORG000002,SYN-HER,FIELD_OPERATIVE
P000144,Yusuf Baig,ORG000002,SYN-HER,FIXER
P000145,Nirmal Singh,ORG000002,SYN-HER,RECRUITER
P000146,Paramjit Sarao,ORG000002,SYN-HER,FINANCIER
P000147,Devi Lal Sisodia,ORG000002,SYN-HER,FENCE
P000148,Bhanwar Saini,ORG000002,SYN-HER,RECRUITER
P000149,Satnam Sandhu,ORG000002,SYN-HER,LOGISTICS
P000150,Sarfaraz Mansuri,ORG000002,SYN-HER,LOGISTICS
P000151,Baljinder Mann,ORG000002,SYN-HER,COURIER
P000152,Bhoma Poonia,ORG000002,SYN-HER,FIELD_OPERATIVE
P000153,Shahnawaz Mansuri,ORG000002,SYN-HER,LOGISTICS
P000154,Nadeem Farooqui,ORG000002,SYN-HER,RECRUITER
P000155,Ashfaq Shaikh,ORG000002,SYN-HER,FIELD_OPERATIVE
P000156,Paramjit Gill,ORG000002,SYN-HER,LIEUTENANT
P000157,Devi Lal Godara,ORG000002,SYN-HER,MULE
P000158,Sarfaraz Siddiqui,ORG000002,SYN-HER,FIELD_OPERATIVE
P000159,Lakhwinder Brar,ORG000002,SYN-HER,FIELD_OPERATIVE
P000160,Rachhpal Singh,ORG000002,SYN-HER,LOGISTICS
P000161,Mohan Sisodia,ORG000002,SYN-HER,CORRUPT_OFFICIAL
P000162,Amarjit Dhillon,ORG000002,SYN-HER,MULE
P000163,Shahnaz Siddiqui,ORG000002,SYN-HER,COURIER
P000164,Gurmeet Aulakh,ORG000002,SYN-HER,RECRUITER
P000165,Nadeem Chaudhary,ORG000002,SYN-HER,COURIER
P000166,Faizan Hussain,ORG000002,SYN-HER,MULE
P000167,Sukhwinder Dhillon,ORG000002,SYN-HER,MULE
P000168,Sukhdev Bhullar,ORG000002,SYN-HER,FENCE
P000169,Rukhsana Ahmed,ORG000002,SYN-HER,COURIER
P000170,Gopal Poonia,ORG000002,SYN-HER,TECH_HANDLER
P000171,Mohammed Shaikh,ORG000002,SYN-HER,MULE
P000172,Kanta Choudhary,ORG000002,SYN-HER,SHOOTER
P000173,Ibrahim Ahmed,ORG000002,SYN-HER,MULE
P000174,Ranveer Gurjar,ORG000002,SYN-HER,TECH_HANDLER
P000175,Rajesh Prajapati,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000176,Sanjib Gayen,ORG000003,SYN-CYB,MULE
P000177,Palash Sardar,ORG000003,SYN-CYB,COURIER
P000178,Udaiveer Saini,ORG000003,SYN-CYB,FIXER
P000179,Nepal Mistry,ORG000003,SYN-CYB,MULE
P000180,Sukumar Biswas,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000181,Satish Rajput,ORG000003,SYN-CYB,KINGPIN
P000182,Iqbal Pathan,ORG000003,SYN-CYB,COURIER
P000183,Ranjan Mondal,ORG000003,SYN-CYB,LOGISTICS
P000184,Ramesh Srivastava,ORG000003,SYN-CYB,RECRUITER
P000185,Ashok Bhadauria,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000186,Netrapal Rathore,ORG000003,SYN-CYB,LOGISTICS
P000187,Naresh Jaiswal,ORG000003,SYN-CYB,MULE
P000188,Sujoy Sarkar,ORG000003,SYN-CYB,TECH_HANDLER
P000189,Pradip Roy,ORG000003,SYN-CYB,MULE
P000190,Iqbal Khan,ORG000003,SYN-CYB,FINANCIER
P000191,Firoz Sheikh,ORG000003,SYN-CYB,MULE
P000192,Faizan Malik,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000193,Nirmal Barman,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000194,Bandana Das,ORG000003,SYN-CYB,FINANCIER
P000195,Anil Thakur,ORG000003,SYN-CYB,MULE
P000196,Sujoy Chakraborty,ORG000003,SYN-CYB,MULE
P000197,Gopal Roy,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000198,Pradip Barman,ORG000003,SYN-CYB,MULE
P000199,Imran Hussain,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000200,Kavita Dubey,ORG000003,SYN-CYB,COURIER
P000201,Balbir Singh,ORG000003,SYN-CYB,TECH_HANDLER
P000202,Sujoy Das,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000203,Palash Gayen,ORG000003,SYN-CYB,MULE
P000204,Jagdish Rajput,ORG000003,SYN-CYB,TECH_HANDLER
P000205,Anup Adhikari,ORG000003,SYN-CYB,LIEUTENANT
P000206,Mahesh Shukla,ORG000003,SYN-CYB,FIELD_OPERATIVE
P000207,Mahesh Sharma,ORG000003,SYN-CYB,MULE
P000208,Mushtaq Rahman,ORG000003,SYN-CYB,RECRUITER
P000209,Nadeem Rahman,ORG000003,SYN-CYB,TECH_HANDLER
P000210,Haroon Idrisi,ORG000003,SYN-CYB,FIELD_OPERATIVE
