account_id,account_number,ifsc,bank,branch_city,branch_state,holder_person_id,holder_org_id,holder_name,account_type,opened_date,status,is_mule_account,kyc_risk_rating
AC000001,52950868744,SBOI0123599,State Bank of India,New Delhi,Delhi,P000001,,Anwar Ahmed,CURRENT,2020-11-15,CLOSED,0,MEDIUM
AC000002,635600625515,FBXX0179751,Federal Bank,New Delhi,Delhi,P000001,,Anwar Ahmed,OVERDRAFT,2016-12-16,ACTIVE,1,HIGH
AC000003,58081403340,YBXX0508105,Yes Bank,New Delhi,Delhi,P000002,,Shabana Baig,SAVINGS,2024-08-15,DORMANT,0,LOW
AC000004,934083544278,CBOI0859881,Central Bank of India,Rajkot,Gujarat,P000003,,Dattatray Waghmare,SAVINGS,2013-05-16,ACTIVE,0,MEDIUM
AC000005,20475983589477,IOBX0069392,Indian Overseas Bank,New Delhi,Delhi,P000004,,Nilesh Vaghela,SAVINGS,2024-01-17,ACTIVE,0,MEDIUM
AC000006,90967108004587,YBXX0242274,Yes Bank,Mangaluru,Karnataka,P000005,,Aslam Ahmed,OVERDRAFT,2026-03-21,ACTIVE,0,MEDIUM
AC000007,32536952558,BBXX0767350,Bandhan Bank,Mangaluru,Karnataka,P000006,,Zubair Sheikh,SAVINGS,2022-07-25,ACTIVE,1,LOW
AC000008,76461261499363,PNBX0196275,Punjab National Bank,Mangaluru,Karnataka,P000006,,Zubair Sheikh,SAVINGS,2024-04-08,ACTIVE,1,LOW
AC000009,235528587063,FBXX0022829,Federal Bank,Bengaluru,Karnataka,P000007,,Bhaskar Kamble,WALLET,2021-04-01,FROZEN,0,LOW
AC000010,198444961639,IFBX0525747,IDFC First Bank,Mumbai,Maharashtra,P000008,,Tanveer Idrisi,SAVINGS,2021-03-13,ACTIVE,0,LOW
AC000011,87756191898755,ABXX0798322,Axis Bank,Mumbai,Maharashtra,P000008,,Tanveer Idrisi,CURRENT,2014-11-08,ACTIVE,0,MEDIUM
AC000012,07051306967212,BOIX0815683,Bank of India,New Delhi,Delhi,P000009,,Sandip Rane,SAVINGS,2016-04-03,FROZEN,1,MEDIUM
AC000013,9821492413717306,ABXX0390858,Axis Bank,New Delhi,Delhi,P000009,,Sandip Rane,SAVINGS,2023-12-01,ACTIVE,1,LOW
AC000014,67238665606,CBOI0775595,Central Bank of India,New Delhi,Delhi,P000009,,Sandip Rane,SAVINGS,2017-08-26,ACTIVE,0,HIGH
AC000015,404750004584,IFBX0089227,IDFC First Bank,Mumbai,Maharashtra,P000010,,Amol Rane,SAVINGS,2021-08-25,DORMANT,0,MEDIUM
AC000016,93565803638364,PNBX0722455,Punjab National Bank,Mumbai,Maharashtra,P000010,,Amol Rane,CURRENT,2021-09-11,DORMANT,0,LOW
AC000017,5242760741464402,CBXX0613534,Canara Bank,New Delhi,Delhi,P000011,,Hitesh Zala,SAVINGS,2023-01-14,ACTIVE,0,LOW
AC000018,2138415510954252,IOBX0750568,Indian Overseas Bank,New Delhi,Delhi,P000011,,Hitesh Zala,SAVINGS,2017-07-02,ACTIVE,0,HIGH
AC000019,72712633402,PPBX0937813,Paytm Payments Bank,New Delhi,Delhi,P000011,,Hitesh Zala,SAVINGS,2024-11-10,ACTIVE,0,LOW
AC000020,6086236504602622,ASFB0478922,AU Small Finance Bank,Mumbai,Maharashtra,P000012,,Vishal Shinde,WALLET,2014-12-19,DORMANT,0,LOW
AC000021,229725401493,YBXX0847543,Yes Bank,Ahmedabad,Gujarat,P000013,,Mushtaq Baig,CURRENT,2016-12-23,ACTIVE,0,LOW
AC000022,101717199457,IBXX0405199,IndusInd Bank,Pune,Maharashtra,P000014,,Jayesh Barot,SAVINGS,2014-04-01,ACTIVE,0,MEDIUM
AC000023,54673137174190,KMBX0669545,Kotak Mahindra Bank,New Delhi,Delhi,P000015,,Swapnil Bhoir,CURRENT,2015-09-04,ACTIVE,0,LOW
AC000024,54474733435,CBOI0973697,Central Bank of India,Mangaluru,Karnataka,P000016,,Hardik Barot,SAVINGS,2018-03-05,ACTIVE,0,MEDIUM
AC000025,175040937011,IFBX0859689,IDFC First Bank,Mangaluru,Karnataka,P000016,,Hardik Barot,CURRENT,2016-07-29,ACTIVE,0,LOW
AC000026,1994250592530955,BOIX0877993,Bank of India,Ballari,Karnataka,P000017,,Swapnil Tandel,SAVINGS,2018-12-04,ACTIVE,0,LOW
AC000027,587537156415,IOBX0330706,Indian Overseas Bank,Nagpur,Maharashtra,P000018,,Salim Saifi,SAVINGS,2019-05-12,ACTIVE,0,LOW
AC000028,8445657817442054,HBXX0051556,HDFC Bank,Ahmedabad,Gujarat,P000019,,Bhaskar Bhosale,SAVINGS,2025-10-27,CLOSED,1,LOW
AC000029,5993001341405806,ABXX0709144,Axis Bank,Ahmedabad,Gujarat,P000019,,Bhaskar Bhosale,WALLET,2014-02-28,ACTIVE,1,MEDIUM
AC000030,04645497683,SBOI0487525,State Bank of India,Ahmedabad,Gujarat,P000019,,Bhaskar Bhosale,SAVINGS,2014-03-04,ACTIVE,0,HIGH
AC000031,488780737676,KMBX0497378,Kotak Mahindra Bank,New Delhi,Delhi,P000020,,Nitin Bhoir,SAVINGS,2022-02-28,ACTIVE,0,HIGH
AC000032,1628974767666091,IFBX0919352,IDFC First Bank,New Delhi,Delhi,P000020,,Nitin Bhoir,SAVINGS,2015-07-29,ACTIVE,0,LOW
AC000033,669802764482,PPBX0943500,Paytm Payments Bank,Bengaluru,Karnataka,P000021,,Kishor Makwana,WALLET,2022-08-20,ACTIVE,0,LOW
AC000034,38375428846377,IBXX0348503,ICICI Bank,Bengaluru,Karnataka,P000022,,Nasreen Sheikh,SAVINGS,2017-12-08,CLOSED,0,LOW
AC000035,92621892240061,PNBX0386549,Punjab National Bank,Porbandar,Gujarat,P000023,,Hardik Barot,SAVINGS,2014-12-11,ACTIVE,0,LOW
AC000036,580471180045,PPBX0015311,Paytm Payments Bank,Porbandar,Gujarat,P000023,,Hardik Barot,SAVINGS,2020-02-04,ACTIVE,0,HIGH
AC000037,04441442942670,BBXX0880501,Bandhan Bank,New Delhi,Delhi,P000024,,Bharat Gohil,SAVINGS,2024-02-08,ACTIVE,1,LOW
AC000038,834914309215,IBXX0272597,ICICI Bank,Ballari,Karnataka,P000025,,Ganesh Chavan,SAVINGS,2015-02-22,ACTIVE,1,HIGH
AC000039,20599447698,KVBX0801225,Karur Vysya Bank,Ballari,Karnataka,P000025,,Ganesh Chavan,CURRENT,2019-05-12,FROZEN,0,LOW
