digital_id,person_id,platform,handle,email,first_seen,is_anonymous_profile
DIG000001,P000003,WhatsApp,@dattatrayx,dattatrayx@outlook.com,2020-10-08,0
DIG000002,P000004,Instagram,@nilesh.x,nilesh.x@outlook.com,2019-03-18,0
DIG000003,P000005,Signal,@aslam.2895,aslam.2895@outlook.com,2022-06-04,1
DIG000004,P000006,X,@zubair5797,zubair5797@gmail.com,2023-04-22,0
DIG000005,P000007,Telegram,@bhaskar.4855,bhaskar.4855@outlook.com,2020-09-19,0
DIG000006,P000008,Facebook,@tanveerx,tanveerx@outlook.com,2025-02-05,0
DIG000007,P000010,Signal,@amolrane,amolrane@gmail.com,2023-08-02,0
DIG000008,P000013,Instagram,@mushtaq_baig,mushtaq_baig@protonmail.com,2025-08-26,0
DIG000009,P000015,Snapchat,@swapnilbhoir,swapnilbhoir@protonmail.com,2021-04-24,1
DIG000010,P000016,WhatsApp,@hardik_barot,hardik_barot@protonmail.com,2018-09-08,0
DIG000011,P000017,Telegram,@swapniltandel,swapniltandel@outlook.com,2026-01-13,0
DIG000012,P000018,Signal,@salim_x,salim_x@gmail.com,2022-04-23,0
DIG000013,P000020,Telegram,@nitin_x,nitin_x@gmail.com,2018-03-28,1
DIG000014,P000026,X,@hitesh_1631,hitesh_1631@outlook.com,2019-03-03,1
DIG000015,P000029,WhatsApp,@ashwin7567,ashwin7567@protonmail.com,2018-10-11,0
DIG000016,P000030,Snapchat,@rahul_nanha,rahul_nanha@outlook.com,2025-02-08,1
DIG000017,P000031,Facebook,@vipulvipul,vipulvipul@protonmail.com,2018-02-02,0
DIG000018,P000032,Signal,@rasik8294,rasik8294@outlook.com,2021-01-19,0
DIG000019,P000033,WhatsApp,@arif.chaudhary,arif.chaudhary@outlook.com,2025-06-19,0
DIG000020,P000034,Telegram,@mohammedidrisi,mohammedidrisi@protonmail.com,2025-01-21,0
DIG000021,P000035,Facebook,@sachin_bhosale,sachin_bhosale@yahoo.in,2026-01-11,1
DIG000022,P000036,Telegram,@shahnazx,shahnazx@gmail.com,2021-06-05,0
DIG000023,P000038,WhatsApp,@tushar_6622,tushar_6622@protonmail.com,2022-02-01,0
DIG000024,P000039,Snapchat,@sagar.8501,sagar.8501@yahoo.in,2024-05-02,1
DIG000025,P000041,Telegram,@pandurang_x,pandurang_x@outlook.com,2020-11-16,0
DIG000026,P000042,Snapchat,@trupti4111,trupti4111@yahoo.in,2024-02-19,0
DIG000027,P000045,X,@dharmesh8182,dharmesh8182@yahoo.in,2021-03-10,1
DIG000028,P000048,Snapchat,@tanaji.5716,tanaji.5716@outlook.com,2019-11-01,0
DIG000029,P000049,Snapchat,@bhavesh.thakor,bhavesh.thakor@protonmail.com,2020-04-03,0
DIG000030,P000051,Signal,@bhaskar_bhaskar,bhaskar_bhaskar@protonmail.com,2022-01-27,0
DIG000031,P000054,Facebook,@dharmeshustad,dharmeshustad@gmail.com,2020-04-29,1
DIG000032,P000055,Instagram,@ibrahim.ibrahim,ibrahim.ibrahim@protonmail.com,2018-06-28,0
DIG000033,P000056,X,@swapnil.salunkhe,swapnil.salunkhe@yahoo.in,2024-07-15,0
DIG000034,P000059,Signal,@bharatx,bharatx@outlook.com,2023-10-29,0
DIG000035,P000060,Telegram,@rasik_x,rasik_x@gmail.com,2024-09-19,0
DIG000036,P000063,Snapchat,@dattatray5776,dattatray5776@protonmail.com,2024-09-12,0
