person_id,full_name,first_name,surname,alias,gender,date_of_birth,age,name_region,native_state,native_city,native_area,home_location_id,based_abroad_in,person_type,role,syndicate_id,syndicate_code,risk_score,influence_score,custody_status,first_offence_year,total_cases,is_cross_syndicate_bridge,is_duplicate_record_of,nic_ref,record_source,source_reliability,info_credibility,is_synthetic
P000001,Anwar Ahmed,Anwar,Ahmed,Chacha Anwar,M,1967-12-07,58,muslim,Delhi,New Delhi,Karol Bagh,LOC000018,,CRIMINAL,MULE,ORG000001,SYN-EXT,25,0.085,ON_BAIL,2018,7,0,,NIC-MN4R7SGMS,SURVEILLANCE_REPORT,B,2,1
P000002,Shabana Baig,Shabana,Baig,Kallu Shabana,F,2000-08-04,25,muslim,Delhi,New Delhi,Jamia Nagar,LOC000017,,CRIMINAL,FENCE,ORG000001,SYN-EXT,40,0.283,AT_LARGE,2020,5,0,,NIC-DQ4HEZ5ED,BANK_STATEMENT,A,3,1
P000003,Dattatray Waghmare,Dattatray,Waghmare,,M,1984-08-15,41,marathi,Gujarat,Rajkot,Gondal,LOC000075,,CRIMINAL,MULE,ORG000001,SYN-EXT,24,0.094,ON_BAIL,2013,5,0,,NIC-TDGNNQFKP,BANK_STATEMENT,C,1,1
P000004,Nilesh Vaghela,Nilesh,Vaghela,,M,1989-02-22,37,gujarati,Delhi,New Delhi,Najafgarh,LOC000019,,CRIMINAL,RECRUITER,ORG000001,SYN-EXT,55,0.552,UNDER_SURVEILLANCE,2023,3,0,,NIC-M1H8OJRJE,FIR,A,2,1
P000005,Aslam Ahmed,Aslam,Ahmed,Aslam Chikna,M,1992-09-16,33,muslim,Karnataka,Mangaluru,Ullal,LOC000101,,CRIMINAL,FIELD_OPERATIVE,ORG000001,SYN-EXT,63,0.271,EXTRADITION_PENDING,2013,4,0,,NIC-QBFOBRCL4,TOWER_DUMP,C,5,1
P000006,Zubair Sheikh,Zubair,Sheikh,Zubair Chikna,M,1986-06-11,40,muslim,Karnataka,Mangaluru,Ullal,LOC000101,,CRIMINAL,MULE,ORG000001,SYN-EXT,36,0.086,DECLARED_PO,2018,2,0,,NIC-SZ9C3FUQU,CDR,F,2,1
P000007,Bhaskar Kamble,Bhaskar,Kamble,,M,1972-09-12,53,marathi,Karnataka,Bengaluru,KG Halli,LOC000099,,CRIMINAL,LOGISTICS,ORG000001,SYN-EXT,64,0.47,ABSCONDING,2003,1,0,,NIC-DNR9IS25H,FIR,F,3,1
P000008,Tanveer Idrisi,Tanveer,Idrisi,,M,1967-08-04,58,muslim,Maharashtra,Mumbai,Bhendi Bazaar,LOC000004,,CRIMINAL,SHOOTER,ORG000001,SYN-EXT,90,0.35,ABSCONDING,2012,3,0,,NIC-S6R044P39,BANK_STATEMENT,B,5,1
P000009,Sandip Rane,Sandip,Rane,,M,1960-05-24,66,marathi,Delhi,New Delhi,Najafgarh,LOC000019,,CRIMINAL,MULE,ORG000001,SYN-EXT,24,0.082,EXTRADITION_PENDING,2002,4,0,,NIC-5J284WV98,INTELLIGENCE_REPORT,B,2,1
P000010,Amol Rane,Amol,Rane,Cheetah Amol,M,1990-12-26,35,marathi,Maharashtra,Mumbai,Malad,LOC000006,,CRIMINAL,FENCE,ORG000001,SYN-EXT,52,0.316,IN_JUDICIAL_CUSTODY,2010,2,0,,NIC-J5CI6VG2G,TOWER_DUMP,E,1,1
P000011,Hitesh Zala,Hitesh,Zala,Hitesh Baba,M,1999-12-13,26,gujarati,Delhi,New Delhi,Nangloi,LOC000020,,CRIMINAL,TECH_HANDLER,ORG000001,SYN-EXT,65,0.452,ABSCONDING,2025,2,0,,NIC-YU58CEPSO,CHARGESHEET,A,6,1
P000012,Vishal Shinde,Vishal,Shinde,Vishal Chikna,M,1963-05-12,63,marathi,Maharashtra,Mumbai,Malad,LOC000006,,CRIMINAL,LIEUTENANT,ORG000001,SYN-EXT,83,0.819,AT_LARGE,2017,3,0,,NIC-LKLFYP5JO,IPDR,C,2,1
P000013,Mushtaq Baig,Mushtaq,Baig,,M,1988-06-19,38,muslim,Gujarat,Ahmedabad,Juhapura,LOC000071,,CRIMINAL,LIEUTENANT,ORG000001,SYN-EXT,81,0.778,AT_LARGE,2013,3,0,,NIC-Q3TMY4GPY,INFORMANT_TIP,B,2,1
P000014,Jayesh Barot,Jayesh,Barot,Langda,M,1991-05-25,35,gujarati,Maharashtra,Pune,Kondhwa,LOC000010,,CRIMINAL,COURIER,ORG000001,SYN-EXT,55,0.189,AT_LARGE,2020,6,0,,NIC-QIGCT2CXI,CDR,E,2,1
