phone_id,msisdn,operator,circle,subscriber_person_id,subscriber_name_on_record,kyc_status,activation_date,deactivation_date,is_burner,imsi
PH000001,8073213678,MTNL,Delhi,P000001,Anwar Ahmed,VERIFIED,2020-09-09,,0,404064555261510
PH000002,9599058081,Vi,Delhi,P000002,Shabana Baig,VERIFIED,2021-08-18,,0,404003340508105
PH000003,7707248764,Jio,Gujarat,P000003,Dattatray Waghmare,VERIFIED,2019-06-18,,0,404026139557458
PH000004,7693408354,Vi,Gujarat,P000003,ADDRESS INCOMPLETE,BULK_ISSUED,2018-02-24,,1,404059881920696
PH000005,9477727745,BSNL,Delhi,P000004,Nilesh Vaghela,VERIFIED,2019-06-09,,0,404050218852114
PH000006,7796878842,Jio,Delhi,P000004,NOT AVAILABLE,BULK_ISSUED,2018-05-23,2019-03-05,1,404098358947706
PH000007,7585320254,BSNL,Delhi,P000004,Nilesh Vaghela,VERIFIED,2020-09-28,,0,404016794677818
PH000008,8948305171,MTNL,Karnataka,P000005,Aslam Ahmed,VERIFIED,2025-11-22,,0,404072512343353
PH000009,7642658750,Airtel,Karnataka,P000005,Mushtaq Sheikh,UNVERIFIED,2025-07-29,2026-03-28,1,404097914077128
PH000010,8907466697,Vi,Karnataka,P000005,Aslam Ahmed,VERIFIED,2018-12-16,,0,404072171243566
PH000011,9704811353,BSNL,Karnataka,P000006,Zubair Sheikh,VERIFIED,2022-12-30,,0,404039652729598
PH000012,8933528789,BSNL,Karnataka,P000007,Bhaskar Kamble,VERIFIED,2024-02-19,,0,404015359647268
PH000013,7855072831,Jio,Karnataka,P000007,Bhaskar Kamble,VERIFIED,2023-08-06,,0,404018508808756
PH000014,9873450521,MTNL,Maharashtra,P000008,Tanveer Idrisi,VERIFIED,2021-04-03,,0,404040504726097
PH000015,7245977366,Jio,Maharashtra,P000008,Tanveer Idrisi,VERIFIED,2022-10-16,,0,404098591981747
PH000016,9088587489,Vi,Maharashtra,P000008,NOT AVAILABLE,FORGED_KYC,2022-11-21,,1,404031984449616
PH000017,7877743721,Airtel,Maharashtra,P000008,Tanveer Idrisi,VERIFIED,2020-01-12,,0,404038487756191
PH000018,8179832290,Jio,Maharashtra,P000008,Tanveer Idrisi,VERIFIED,2023-10-28,,0,404005905451736
PH000019,7172962901,Jio,Delhi,P000009,Sandip Rane,VERIFIED,2021-02-10,,0,404079322652782
PH000020,9356711775,Airtel,Delhi,P000009,Bhaskar Kamble,UNVERIFIED,2018-03-06,2018-04-30,1,404058198708840
PH000021,9505365972,BSNL,Delhi,P000009,Sandip Rane,VERIFIED,2020-04-01,,0,404083950705130
PH000022,9289881085,Vi,Maharashtra,P000010,Amol Rane,VERIFIED,2018-06-10,,0,404087235784572
PH000023,7250749316,BSNL,Maharashtra,P000010,ADDRESS INCOMPLETE,FORGED_KYC,2021-03-26,,1,404061155661340
PH000024,8084089227,Jio,Maharashtra,P000010,ADDRESS INCOMPLETE,BULK_ISSUED,2025-05-04,2025-10-25,1,404006494935658
