vehicle_id,registration_no,make,model,colour,vehicle_class,registered_state,owner_person_id,owner_name_on_record,registration_date,is_fake_plate,chassis_tampered
VEH000001,DL04 CF 7344,Honda,Amaze,Red,LMV,Delhi,P000001,Anwar Ahmed,2014-01-03,0,0
VEH000002,DL07 NC 6794,Honda,Amaze,Blue,LMV,Delhi,P000004,THIRD PARTY,2022-09-01,0,0
VEH000003,KA32 TP 1535,Bajaj,Platina,Blue,TWO_WHEELER,Karnataka,P000007,Bhaskar Kamble,2023-05-23,0,0
VEH000004,MH04 LC 4244,Tata,Safari,Blue,LMV,Maharashtra,P000010,THIRD PARTY,2026-04-07,0,0
VEH000005,DL03 OO 6746,Royal Enfield,Himalayan,Black,TWO_WHEELER,Delhi,P000011,THIRD PARTY,2023-12-08,0,0
VEH000006,GJ06 OR 0079,Ashok Leyland,Dost,Blue,COMMERCIAL,Gujarat,P000013,THIRD PARTY,2022-02-19,0,0
VEH000007,KA05 OE 3816,Ashok Leyland,Boss,Maroon,COMMERCIAL,Karnataka,P000017,THIRD PARTY,2015-05-22,1,0
VEH000008,KA03 PP 7842,Honda,Amaze,Grey,LMV,Karnataka,P000021,Kishor Makwana,2018-12-25,0,0
VEH000009,KA41 AR 8025,Hyundai,Venue,Maroon,LMV,Karnataka,P000025,Ganesh Chavan,2014-02-03,0,0
VEH000010,DL13 BQ 3480,Maruti Suzuki,Alto,Red,LMV,Delhi,P000028,THIRD PARTY,2020-04-12,0,0
VEH000011,GJ06 KO 6475,Eicher,Pro 3015,Maroon,COMMERCIAL,Gujarat,P000032,Rasik Joshi,2021-05-19,0,0
VEH000012,KA03 OF 6189,Honda,City,White,LMV,Karnataka,P000036,Shahnaz Alam,2017-07-30,1,0
VEH000013,GJ18 PH 0830,Maruti Suzuki,Dzire,Red,LMV,Gujarat,P000039,THIRD PARTY,2019-01-07,0,0
VEH000014,MH01 GN 3487,Toyota,Fortuner,Black,LMV,Maharashtra,P000043,Bharat Dave,2021-04-12,0,0
VEH000015,GJ12 EP 8610,Honda,Amaze,Black,LMV,Gujarat,P000044,Hitesh Solanki,2016-03-08,0,1
VEH000016,GJ12 YL 0641,Ashok Leyland,Dost,Silver,COMMERCIAL,Gujarat,P000045,Dharmesh Zala,2019-05-30,0,0
VEH000017,DL07 DT 9658,Royal Enfield,Himalayan,Black,TWO_WHEELER,Delhi,P000051,Bhaskar Gaikwad,2025-03-13,0,0
VEH000018,DL01 RU 0570,Maruti Suzuki,Swift,Red,LMV,Delhi,P000052,THIRD PARTY,2018-12-03,0,0
VEH000019,GJ27 IG 9974,Mahindra,Pick-Up,Maroon,LMV,Gujarat,P000055,Ibrahim Mirza,2025-02-04,0,0
VEH000020,MH03 CI 6292,Hero,Splendor Plus,Silver,TWO_WHEELER,Maharashtra,P000056,THIRD PARTY,2024-05-31,0,0
VEH000021,GJ01 RB 2384,Ashok Leyland,Boss,Grey,COMMERCIAL,Gujarat,P000061,Amol Tandel,2019-05-04,0,0
VEH000022,GJ01 BL 9157,Toyota,Etios,Red,LMV,Gujarat,P000068,THIRD PARTY,2014-05-30,0,0
VEH000023,MH20 DM 5542,Mahindra,Thar,Red,LMV,Maharashtra,P000071,Chirag Desai,2025-09-17,1,0
VEH000024,KA01 UM 7875,Ashok Leyland,Boss,Blue,COMMERCIAL,Karnataka,P000074,THIRD PARTY,2021-02-28,0,0
VEH000025,GJ27 YY 8164,Bajaj,Platina,Black,TWO_WHEELER,Gujarat,P000080,Kalpesh Zala,2013-04-18,0,0
VEH000026,DL08 GP 0063,Bajaj,Pulsar 150,Silver,TWO_WHEELER,Delhi,P000081,Sandip Salunkhe,2026-01-28,0,0
VEH000027,MH31 DL 3427,Eicher,Pro 2049,Blue,COMMERCIAL,Maharashtra,P000085,THIRD PARTY,2024-03-19,0,0
VEH000028,MH43 PC 4142,Ashok Leyland,Ecomet,Blue,COMMERCIAL,Maharashtra,P000086,THIRD PARTY,2015-07-13,1,0
VEH000029,GJ01 VX 4961,Eicher,Pro 3015,Blue,COMMERCIAL,Gujarat,P000091,Shahnawaz Hussain,2019-09-06,0,0
VEH000030,HR55 NF 8107,Eicher,Pro 3015,Grey,COMMERCIAL,Haryana,P000093,Wasim Baig,2022-06-28,0,0
VEH000031,PB10 PC 4243,Royal Enfield,Classic 350,White,TWO_WHEELER,Punjab,P000096,Navneet Bajwa,2025-07-21,0,0
VEH000032,JK05 EG 9551,Hyundai,Creta,White,LMV,Jammu and Kashmir,P000100,THIRD PARTY,2021-11-21,0,0
VEH000033,DL08 DP 5863,Honda,Amaze,Silver,LMV,Delhi,P000101,Ratan Saini,2017-01-26,0,0
VEH000034,DL13 XZ 8217,Bajaj,Pulsar 150,Silver,TWO_WHEELER,Delhi,P000103,Hanuman Beniwal,2021-11-17,0,0
VEH000035,RJ07 FJ 1430,Toyota,Fortuner,Maroon,LMV,Rajasthan,P000105,Mohan Sisodia,2021-02-01,0,0
VEH000036,DL10 LN 7794,Bajaj,Pulsar 220,Grey,TWO_WHEELER,Delhi,P000108,THIRD PARTY,2019-10-26,0,0
VEH000037,RJ27 HW 8298,Hyundai,Venue,Red,LMV,Rajasthan,P000109,Firoz Chaudhary,2022-03-04,0,0
VEH000038,PB10 GO 8471,Bajaj,Pulsar 150,Maroon,TWO_WHEELER,Punjab,P000112,Rafiq Ansari,2023-11-29,0,0
